nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification
800 - 3500m: Lower bathyal,x800_3500m_lower_bathyal,Depth Zones,Depth,Feature,30,0,85,TRUE,TRUE,GEBCO ([General Bathymetric Chart of the Oceans](https://www.gebco.net)) 2024 bathymetry data 
3500 - 6500m: Abyssal,x3500_6500m_abyssal,Depth Zones,Depth,Feature,30,0,85,TRUE,TRUE,GEBCO ([General Bathymetric Chart of the Oceans](https://www.gebco.net)) 2024 bathymetry data 
Aquatic land features,aquatic_land_features,Reef Geomorphology,Geomorph,Feature,30,0,85,FALSE,FALSE,Millenium Coral Reef Geomorphology
Diffuse fringing,diffuse_fringing,Reef Geomorphology,Geomorph,Feature,30,0,85,TRUE,TRUE,Millenium Coral Reef Geomorphology
Forereef,forereef,Reef Geomorphology,Geomorph,Feature,30,0,85,TRUE,TRUE,Millenium Coral Reef Geomorphology
Reef flat,reef_flat,Reef Geomorphology,Geomorph,Feature,30,0,85,TRUE,TRUE,Millenium Coral Reef Geomorphology
Fish Health Score,fish_scores,High Reef-Health Areas,Health,Feature,30,0,85,TRUE,TRUE,"The fish assemblage health score is derived from reef monitoring data on: fish biomass, size structure, heterogeneity, evenness and predcator biomass. More details on the monitoring website: https://micronesiareefmonitoring.com"
Benthic Health Score,benthic_scores,High Reef-Health Areas,Health,Feature,30,0,85,TRUE,TRUE,"The benthic substrate health score is derived from reef monitoring data on: coral cover, coral evenness, substrate ratio, and macroalgae cover. More details on the monitoring website: https://micronesiareefmonitoring.com"
Mangrove Forest,mangroves,Habitat,AHabitat,Feature,30,0,85,TRUE,TRUE,Mangrove distribution data subset from the full vegetation map created by USGS in 2008 derived from high resolution QuickBird pansharpened-natural color image.
Marine Protected Areas,mpas,Protected Areas,MPAs,LockIn,NA,NA,NA,TRUE,TRUE,Kosrae marine protected area network compiled from data and information provided by Moses and Bond
Marine Protected Areas,mpas,Protected Areas,MPAs,LockOut,NA,NA,NA,TRUE,TRUE,Kosrae marine protected area network compiled from data and information provided by Moses and Bond
Barracuda,barracuda,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Black jack,black_jack,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Blacktail snapper,blacktail_snapper,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Emperor sp.,emperor_sp,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Lowfin rudderfish,lowfin_rudderfish,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Mullet fringelip,mullet_fringelip,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Mullet sp.,mullet_sp,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
One spot snapper,one_spot_snapper,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Orange spine unicorn fish,orange_spine_unicorn_fish,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Rabbitfish spp.,rabbitfish_spp,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Randall's rabbitfish,randalls_rabbitfish,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
Scribbled rabbitfish,scribbled_rabbitfish,Spawning Areas,Spawning,Feature,30,0,85,TRUE,TRUE,Spawning areas drawn by participants in the 2025 Kosrae Spawning Aggregation Survey. 
